A05,Apple,Apple,Apple Magic Trackpad 2 - Silver,2.990.000 ₫,https://ik.imagekit.io/nhom2/Apple_Magic_Trackpad_2_-_Silver.png?updatedAt=1683042809373,5
A06,Apple,Apple,Apple Magic Keyboard,2.590.000 ₫,https://ik.imagekit.io/nhom2/Apple_Magic_Keyboard.png?updatedAt=1683043599942,5
S01,Screen,LG,"24GN65R-B 24"" IPS 144Hz",4.190.000 ₫,https://ik.imagekit.io/nhom2/24GN65R-B.png?updatedAt=1683043599638,8
S02,Screen,LG,"32UN880-B 32"" IPS 4K HDR 10",16.990.000 ₫,https://ik.imagekit.io/nhom2/32UN880-B.png?updatedAt=1683043600500,3
S03,Screen,Samsung,"LF24T370 24"" IPS 75Hz",3.090.000 ₫,https://ik.imagekit.io/nhom2/LF24T370.png?updatedAt=1683043606426,10
S04,Screen,Samsung,"M7 LS43BM702 43"" 4K USBC",12.990.000 ₫,https://ik.imagekit.io/nhom2/M7_LS43BM702.png?updatedAt=1683043606983,5
K01,Keyboard,Logitech,G512 GX RGB,2.090.000 ₫,https://ik.imagekit.io/nhom2/G512_GX_RGB.png?updatedAt=1683043603283,5
K02,Keyboard,Logitech,G213,990.000 ₫,https://ik.imagekit.io/nhom2/G213.png?updatedAt=1683043603644,4
K03,Keyboard,Logitech,G913 TKL Lightspeed Wireless,4.390.000 ₫,https://ik.imagekit.io/nhom2/G913_TKL_Lightspeed_Wireless.png?updatedAt=1683043604210,7
K04,Keyboard,Corsair,K60 Pro SE RGB,1.950.000 ₫,https://ik.imagekit.io/nhom2/K60_Pro_SE_RGB.png?updatedAt=1683043603898,3
K05,Keyboard,Corsair,K65 RGB MINI White,2.590.000 ₫,https://ik.imagekit.io/nhom2/K65_RGB_MINI_White.png?updatedAt=1683043605430,2
K06,Keyboard,Akko,AKKO 5075B Plus Naruto,2.990.000 ₫,https://ik.imagekit.io/nhom2/AKKO_5075B_Plus_Naruto.png?updatedAt=1683043600234,6
K07,Keyboard,Akko,AKKO 3098S One Piece,2.590.000 ₫,https://ik.imagekit.io/nhom2/AKKO_3098S_One_Piece.png?updatedAt=1683043600173,8
K08,Keyboard,DareU,DareU EK1280 RGB,750.000 ₫,https://ik.imagekit.io/nhom2/DareU_EK1280_RGB.png?updatedAt=1683043600106,10
K09,Keyboard,DareU,DAREU EK87,499.000 ₫,https://ik.imagekit.io/nhom2/DAREU_EK87.png?updatedAt=1683043600349,9
M01,Mouse,Logitech,G102 Lightsync RGB,420.000 ₫,https://ik.imagekit.io/nhom2/G102_Lightsync_RGB.png?updatedAt=1683043602440,15
M02,Mouse,Logitech,G502 Hero,990.000 ₫,https://ik.imagekit.io/nhom2/G502_Hero.png?updatedAt=1683043603568,5
M03,Mouse,Zowie,EC3-C,1.590.000 ₫,https://ik.imagekit.io/nhom2/EC3-C.png?updatedAt=1683043600042,3
M04,Mouse,Rapoo,VT350S Black,1.190.000 ₫,https://ik.imagekit.io/nhom2/VT350S_Black.png?updatedAt=1683043606944,5
M05,Mouse,Rapoo,V300W Black,890.000 ₫,https://ik.imagekit.io/nhom2/V300W_Black.png?updatedAt=1683043607035,7
H01,Headphones,Sony,INZONE H3,1.950.000 ₫,https://ik.imagekit.io/nhom2/INZONE_H3.png?updatedAt=1683043603723,5
H02,Headphones,Sony,Hires MDR-1AM2,5.900.000 ₫,https://ik.imagekit.io/nhom2/Hires_MDR-1AM2.png?updatedAt=1683043603852,3
H03,Headphones,Logitech,G535 LIGHTSPEED Wireless,2.550.000 ₫,https://ik.imagekit.io/nhom2/G535_LIGHTSPEED_Wireless.png?updatedAt=1683043603635,4
H04,Headphones,Corsair,HS55 Surround Carbon,1.590.000 ₫,https://ik.imagekit.io/nhom2/HS55_Surround_Carbon.png?updatedAt=1683043603477,6
H05,Headphones,Razer,BlackShark V2 X White,1.190.000 ₫,https://ik.imagekit.io/nhom2/BlackShark_V2_X_White.png?updatedAt=1683043600391,5
A01,Accessories,AverMedia,Capture Card Live Gamer,5.490.000 ₫,https://ik.imagekit.io/nhom2/Capture_Card_Live_Gamer.png?updatedAt=1683043600221,3
A02,Accessories,Creative,Soundcard Blaster Audigy FX,710.000 ₫,https://ik.imagekit.io/nhom2/Soundcard_Blaster_Audigy_FX.png?updatedAt=1683043606982,8
A03,Accessories,HyperX,Micro DuoCast RGB,1.990.000 ₫,https://ik.imagekit.io/nhom2/Micro_DuoCast_RGB.png?updatedAt=1683043607291,7
O01,Others,Linksys,Wifi Router EA7500,2.490.000 ₫,https://ik.imagekit.io/nhom2/Wifi_Router_EA7500.png?updatedAt=1683043607173,3
O02,Others,TP-Link,WiFi Card 5 T5E,790.000 ₫,https://ik.imagekit.io/nhom2/WiFi_Card_5_T5E.png?updatedAt=1683043607415,10
