Hada Labo Foaming Cleanser,180.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,face,F001
Hada Labo Foaming Cleanser,180.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,160ml,Cleanser,F001
Hada Labo Foaming Cleanser,180.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,160ml,Dried,F001
Klairs Supple Preparation,~328.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,180ml,face,F003
Klairs Supple Preparation,~328.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,180ml,Dried,F003
Klairs Supple Preparation,~328.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,180ml,Toner,F003
Water Bank Moisture Essence,770.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,70ml,face,F005
Water Bank Moisture Essence,770.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,70ml,Serum,F005
Water Bank Moisture Essence,770.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,70ml,Dried,F005
Cocoon,92.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,200ml,body,B005
Cocoon,92.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,200ml,Exfoliate,B005
Cocoon,92.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,200ml,Oily,B005
Cocoon,92.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,200ml,Dried,B005
Cocoon,92.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,200ml,Mixed,B005
ST IVES APRICOT SCRUB,146.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,283g,body,B004
ST IVES APRICOT SCRUB,146.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,283g,Exfoliate,B004
ST IVES APRICOT SCRUB,146.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,283g,Dried,B004
ST IVES APRICOT SCRUB,146.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,283g,Oily,B004
ST IVES APRICOT SCRUB,146.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,283g,Mixed,B004
Chateau Rouge,399.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,400ml,body,B003
Chateau Rouge,399.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,400ml,Whitening,B003
Chateau Rouge,399.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,400ml,Oily,B003
Chateau Rouge,399.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,400ml,Dried,B003
Chateau Rouge,399.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,400ml,Mixed,B003
Byvibes Wonder Bath Cleansing Foam,225.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,150ml,face,F002
Byvibes Wonder Bath Cleansing Foam,225.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,150ml,Cleanser,F002
Centella Ampoule SKIN1004,356.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,100ml,face,F004
Centella Ampoule SKIN1004,356.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,100ml,Serum,F004
Hatomugi The Body Milk,235.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,400ml,body,B001
Hatomugi The Body Milk,235.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,400ml,Lotion,B001
White Conc Body CC Cream,245.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,200g,body,B002
White Conc Body CC Cream,245.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,200g,Whitening,B002
3Ce Velvet Lip Tint Bitter Hour,320.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,Color:Hour,Others,M001
Colourpop Baby Got Peach,380.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,Tone:Peach,Others,M002
Lemonade Supermatte Cushion,275.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,15g,Others,M003
Maybelline Fit Me Foundation,700.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,Color:Soft Sand,Others,M004
3CE Multi Eye Color Palette – Overtake,700.000 VND,https://ik.imagekit.io/nhom2/Logo/techhub.png?updatedAt=1679738096844,8.1g,Others,M005
